id	format	area	status	priority	csharp_reference	rust_reference	verification	next_action
BASE-001	all	upstream baseline	aligned	P0	source/OfficeCLI @ b2f30dd9eaa7459b4d5b5ecc2387402f8e01d412 (v1.0.143)	workspace source/OfficeCLI	2026-08-04: verified this is a Git worktree at the recorded baseline	compare only this C# baseline against the Rust HEAD and preserve Rust-only extensions
CLI-001	all	core document verbs	partial	P0	src/officecli/CommandBuilder.cs; CommandBuilder.Add.cs; CommandBuilder.GetQuery.cs; CommandBuilder.Import.cs; CommandBuilder.Save.cs; CommandBuilder.Set.cs; CommandBuilder.Mark.cs; CommandBuilder.Raw.cs	crates/officecli/src/commands/mod.rs; commands/{add,add_part,create,get,import,merge,query,save,set,validate}.rs; watch.rs	CLI smoke: merge/raw lifecycle and explicit/inferred locale document creation	C# `merge <template> <output> --data <json> [--force]` copies before mutation and preserves the template; legacy Rust in-place/`--out` syntax remains. `create` applies the C# font registry to explicit locale plus Unix `LC_ALL`/`LANG` inference, excluding C/POSIX and inferred Western locales. Remaining dump batch emitters and per-command warnings/suggestions.
BATCH-002	all	C# dump replay protocol	partial	P0	src/officecli/CommandBuilder.Dump.cs; CommandBuilder.Batch.cs	crates/officecli/src/commands/{batch,plugin_process}.rs	CLI smoke: C# `meta` + logical-part `raw-set`, envelopes, `stopOnError=false`; full CLI smoke 163/163 before the latest targeted stop test; clippy	Batch accepts dump-version `meta` entries and `raw-set`, top-level arrays plus `commands`/`operations`/`items` JSON envelopes, C# `stopOnError` (boolean), and normalizes semantic part paths from the target extension. Replayable raw-root dump arrays are emitted for DOCX/XLSX/PPTX; plugin dump-reader replay passes its target path to retain Rust plugin support. Remaining: C# structured emitter operations.
DUMP-001	docx	replayable document, part, structural subtree, and comments dump	partial	P0	source/OfficeCLI/src/officecli/CommandBuilder.Dump.cs; Handlers/Word/WordBatchEmitter.cs:76-260; WordBatchEmitter.{Paragraph,Table,Resources,AuxParts}.cs	crates/officecli/src/commands/dump.rs; crates/docx-handler/src/{handler,mutations}.rs; crates/oxml/src/xml_util.rs	CLI smoke: full, `/styles`, `/body`, `/body/p[1]`, `/comments`, `/commentsExtended`, root header/footer, body/header and numbering picture binaries, customXml item/itemProps, comment/footnote/endnote-local images, webSettings and core/app/custom docProps dump→batch replay; recursive ActiveX/SmartArt/OLE graph replay	Root replay restores document XML first, relationship-pinned header/footer parts, body/header, comment, footnote, endnote and numbering-picture image binaries on their original host relationship parts, customXml data stores and itemProps with source relation IDs, plus available numbering, styles, theme, settings, footnotes, endnotes, webSettings, core/app/custom docProps, fontTable (including font binaries), comments and commentsExtended. A physical recursive `embed-part` graph now retains charts and sidecars, SmartArt, ActiveX, OLE, arbitrary internal binary/XML payloads and external edges. Remaining: C# structured emitter operations and malformed-source warning parity.
DUMP-005	docx	dump resource subtree paths and lazy part lifecycle	partial	P1	source/OfficeCLI/src/officecli/Handlers/Word/WordBatchEmitter.cs:76-106; WordBatchEmitter.Resources.cs:1001-1210; WordHandler.cs:Raw/RawSet	crates/officecli/src/commands/{create,dump}.rs; crates/docx-handler/src/{handler,raw,mutations}.rs	CLI smoke: `/theme`, case-insensitive `/fontTable`, and an `rId`-pinned obfuscated font binary all dump→batch into fresh documents	Implemented C#-compatible `/theme` and `/fontTable` dump/replay, lazy relationship/content-type creation, and valid `embed-binary` payloads. Remaining: C# skips an unreadable embedded-font relationship with an output warning; Rust currently reports that malformed source as a dump error.
DUMP-002	xlsx	replayable workbook and worksheet dump	partial	P0	src/officecli/CommandBuilder.Dump.cs; Handlers/Excel/ExcelBatchEmitter*.cs	crates/officecli/src/commands/dump.rs; crates/xlsx-handler/src/{handler,add,raw}.rs	CLI smoke: full one-/multi-sheet workbook, `/Sheet1`, and `/sheet[1]` dump→batch→fresh XLSX; recursive chart→drawing graph replay	Root XLSX dump emits worksheet replacements before `/workbook`, then recursively emits all workbook relationship edges as physical `embed-part` actions. This retains drawings/charts, richData/metadata, embedded workbooks and external relationships with original source rIds; an empty self-closing `.rels` root is expanded correctly on replay. Worksheet dumps remain one logical replacement. Remaining structured C# emitter operations and selected-subtree dependency capture.
PPTX-RAW-001	pptx	semantic raw part paths	implemented	P1	src/officecli/Handlers/PowerPointHandler.cs:Raw,RawSet; schemas/help/pptx/raw.json	crates/pptx-handler/src/handler.rs; presentation.rs; crates/officecli/src/commands/raw.rs	CLI unit: semantic PPTX paths are not pre-normalized; `/presentation`, `/theme`, `/noteSlide[1]`, and raw-set lifecycle; PPTX unit tests 31/31 including master/layout/theme/note relationship resolution; full CLI smoke 161/161; clippy	`raw` and `raw-set` preserve semantic `/presentation`, `/theme`, `/slide[N]`, `/slideMaster[N]`, `/slideLayout[N]`, and `/noteSlide[N]` until the relationship-aware handler resolves them, preserving stability across custom ZIP part names. Master/layout enumeration is deterministic by relationship id.
DUMP-003	pptx	replayable presentation and semantic-part dump	partial	P0	src/officecli/CommandBuilder.Dump.cs; Handlers/Pptx/PptxBatchEmitter*.cs	crates/officecli/src/commands/dump.rs; crates/pptx-handler/src/{handler,raw}.rs	CLI smoke: full one-/multi-slide presentation, `/presentation`, and `/slide[1]` dump→batch→fresh PPTX; recursive chart→slide graph replay	Root PPTX dump replays semantic `/slide[N]` replacements before `/presentation`, then recursively emits presentation relationship edges. This retains master/layout/theme edges plus charts, media, OLE, SmartArt, model3d and producer extension sidecars as opaque physical resources. A selected `/presentation`, `/theme`, `/slideMaster[N]`, `/slideLayout[N]`, `/noteSlide[N]`, or `/slide[N]` still emits one root-correct raw-set operation. Remaining structured C# emitter work and selected-subtree dependency capture.
DUMP-004	all	dump path command syntax	implemented	P1	src/officecli/CommandBuilder.Dump.cs	crates/officecli/src/commands/dump.rs	CLI smoke: positional PATH and legacy `--path`; full CLI smoke 151/151	C# `dump <file> [PATH]` is accepted. Rust `--path PATH` remains as a compatible extension; supplying both is rejected explicitly.
CLI-010	xlsx	raw semantic part paths	implemented	P1	src/officecli/Handlers/ExcelHandler.cs:Raw,RawSet; schemas/help/xlsx/raw.json	crates/xlsx-handler/src/helpers.rs:resolve_raw_part_path; handler.rs; raw.rs; crates/officecli/src/commands/{raw,raw_set}.rs	CLI smoke: semantic parts, `/sheet[1]`, plus `--start/--end/--cols`; full CLI smoke 155/155; clippy	Implemented `/workbook`, `/styles`, `/sharedStrings` (case-insensitive), `/theme`, `/<SheetName>` or C# positional `/sheet[N]`, `/<SheetName>/drawing`, `/<SheetName>/chart[N]`, `/chart[N]`, and `/<SheetName>/<rId>` plus literal `/*.xml`/`/*.rels`. Worksheet raw filtering matches C# row/column semantics; generated worksheet/drawing relationship-part paths are OOXML-correct.
